SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
MS,90654,COXIM,12,44.336755321257286,25232,12767,12465,1,109,98,1149,5112,864,74,375,9052,181,3,2,104,2,368,623
BA,35351,GUARATINGA,189,44.873360683300824,14871,7247,7611,1,31,145,392,6513,158,14,25,2200,20,13,2,21,2,165,924
RN,16110,ALMINO AFONSO,37,43.34295659295659,4885,2477,2408,1,8,19,694,2435,28,7,18,535,21,0,0,10,2,102,180
RJ,60011,RIO DE JANEIRO,192,47.41281932187645,64590,34670,29855,1,212,523,9256,4087,818,323,277,28155,1337,13,8,646,26,1014,2439
MG,40967,LEME DO PRADO,336,42.426993865030674,4075,2028,2042,1,13,5,317,1296,244,5,17,574,97,0,1,5,0,48,124
PR,76252,IVATUBA,154,44.50656814449918,2436,1306,1130,2,0,0,0,617,0,0,0,1116,0,0,0,0,0,19,85
PI,10111,ANGICAL DO PIAUÍ,84,44.6423120636467,6159,3303,2856,2,0,0,0,3734,0,0,0,869,0,0,0,0,0,42,208
PE,24937,OROBÓ,33,43.21437721718565,20297,10494,9784,2,0,0,0,10036,0,0,0,2369,0,0,0,0,0,186,785
RS,85294,AUGUSTO PESTANA,155,46.84759650400583,5492,2812,2680,2,0,0,0,1467,0,0,0,3061,0,0,0,0,0,109,258
MG,48615,MONTE CARMELO,181,44.57852799911158,36020,18325,17686,1,106,138,2408,8159,886,82,210,10985,1156,6,14,174,47,918,2095
PB,20095,DESTERRO,30,41.9723991507431,6594,3425,3169,2,0,0,0,4151,0,0,0,848,0,0,0,0,0,55,157
MG,50610,PRESIDENTE BERNARDES,217,45.1891447368421,5472,2639,2828,1,18,4,268,1815,318,15,6,896,164,2,1,9,0,86,290
MG,48518,MONSENHOR PAULO,61,44.502090800477895,6696,3236,3448,2,0,0,0,1828,0,0,0,2719,0,0,0,0,0,147,601
MG,54038,UBERLÂNDIA,278,42.339512630116786,116628,63216,53412,1,463,1013,12044,19126,2085,549,842,46857,4622,16,26,790,47,2721,8546
PI,11010,ITAUEIRA,72,43.54847374847375,8191,4119,4072,2,0,0,0,4986,0,0,0,1172,0,0,0,0,0,91,280
