SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
RN,16837,GOVERNADOR DIX-SEPT ROSADO,49,42.97692849594928,11356,5780,5576,1,16,42,2649,4035,72,20,47,1310,35,2,0,20,3,258,743
MG,52876,SÃO SEBASTIÃO DA BELA VISTA,248,43.61740279350698,5298,2472,2824,1,18,26,245,937,328,11,33,2113,158,2,2,22,5,104,220
AL,27731,JARAMATAIA,44,40.01531492666091,4636,2351,2285,2,0,0,0,2806,0,0,0,462,0,0,0,0,0,32,172
RS,87238,JAGUARI,26,45.9517052229907,8386,4207,4179,1,76,15,833,1604,343,26,231,3528,77,1,2,22,1,337,267
BA,37214,MATA DE SÃO JOÃO,185,41.07013825814916,39638,20455,19181,1,50,954,1624,18235,1032,71,109,5277,66,10,2,277,5,914,2734
MG,40070,ACAIACA,225,46.542994079503806,3547,1800,1727,1,3,15,212,1177,147,3,14,655,22,0,2,6,0,74,221
MS,98132,SETE QUEDAS,33,45.22751773049645,7050,3704,3346,2,0,0,0,1728,0,0,0,3149,0,0,0,0,0,76,363
MG,43974,CÓRREGO DO BOM JESUS,59,47.84880503144654,3975,1890,2085,2,0,0,0,795,0,0,0,1902,0,0,0,0,0,58,301
MG,41548,SÃO DOMINGOS DAS DORES,128,41.06031167779802,4941,2443,2498,2,0,0,0,1600,0,0,0,1801,0,0,0,0,0,102,451
MG,41564,SÃO FÉLIX DE MINAS,117,43.72278623801466,3546,1742,1800,1,7,37,87,875,131,3,23,1100,28,0,0,9,0,37,139
RN,16314,BENTO FERNANDES,62,40.602987777274784,4418,2202,2216,1,5,31,445,2510,56,6,17,509,14,1,3,19,0,65,176
MT,90336,BARRA DO BUGRES,13,42.10238761023876,23247,11208,12037,1,104,95,876,6332,637,67,167,7094,193,0,5,154,9,353,1003
TO,92436,ARAGUATINS,10,41.029753335252906,20838,10508,10330,2,0,0,0,8819,0,0,0,5882,0,0,0,0,0,168,828
PB,21776,SANTA TERESINHA,65,42.15987081146548,4954,2486,2468,1,9,15,796,1948,63,9,74,784,15,0,0,9,0,129,275
PE,24171,GAMELEIRA,28,40.19607432243644,14317,7561,6756,2,0,0,0,7686,0,0,0,2879,0,0,0,0,0,144,819
MG,48771,MURIAÉ,187,45.95602974458455,77325,41216,35969,2,0,0,0,21306,0,0,0,31027,0,0,0,0,0,1191,6520
RS,87793,PALMITINHO,94,45.36161903071188,5633,2862,2771,1,37,17,411,2148,271,11,110,1610,69,2,0,5,1,148,145
MG,50911,RIBEIRÃO DAS NEVES,286,40.617534011987445,105111,55614,49473,1,248,1856,7857,20805,2329,472,1301,36935,1269,27,34,1184,56,4165,6513
PA,5053,ORIXIMINÁ,38,40.38411992573406,43627,21527,22091,1,71,163,1357,15598,1524,138,602,10585,226,6,2,340,3,440,1026
SC,80837,CONCÓRDIA,9,45.40439723320158,36433,18740,17693,1,340,80,1353,5060,888,110,329,18690,1085,23,7,117,6,683,1108
RS,98299,JÓIA,155,45.35959696068715,6054,2944,3110,2,0,0,0,2809,0,0,0,2060,0,0,0,0,0,132,218
PI,10090,AMARANTE,8,43.73939010680157,14232,7429,6803,2,0,0,0,9036,0,0,0,1419,0,0,0,0,0,114,397
RS,86231,DAVID CANABARRO,138,46.39307535641548,3928,1928,2000,1,19,2,378,873,192,7,96,1536,82,0,1,3,1,124,93
MG,42293,CAMPOS ALTOS,327,44.60030627871363,10448,5270,5172,1,16,52,449,1893,414,6,52,3438,254,3,2,28,3,289,477
MG,53511,SIMONÉSIA,167,44.529246419488686,14942,7310,7617,1,22,74,903,4107,597,37,143,3667,231,3,1,39,3,421,926
MG,49972,PERDÕES,216,45.5986426398315,17092,8764,8312,1,36,97,1113,2515,678,50,125,6479,644,6,5,114,4,574,1145
MG,42439,CAPELA NOVA,68,46.34529560616517,4347,2177,2169,2,0,0,0,1600,0,0,0,1130,0,0,0,0,0,214,540
SP,61573,ARAÇOIABA DA SERRA,294,43.823469568294406,22608,11639,10969,2,0,0,0,3881,0,0,0,13130,0,0,0,0,0,623,1915
MT,90824,GAÚCHA DO NORTE,57,40.9291658209864,4928,2338,2590,2,0,0,0,1094,0,0,0,2173,0,0,0,0,0,28,69
PR,78956,SÃO SEBASTIÃO DA AMOREIRA,35,43.72224767140021,6549,3456,3093,2,0,0,0,2483,0,0,0,2707,0,0,0,0,0,88,246
PE,25950,TACARATU,89,40.565152691511386,15456,7837,7618,2,0,0,0,10527,0,0,0,1274,0,0,0,0,0,86,398
MG,46612,ITANHANDU,137,45.27871262865545,12242,6369,5856,1,57,80,1137,1334,1077,48,57,4235,689,3,1,57,2,341,611
RS,88218,RODEIO BONITO,64,45.18016321406152,4779,2409,2370,1,42,22,246,1509,184,11,76,1716,80,2,0,14,0,119,111
RN,18392,SÃO JOÃO DO SABUGI,26,44.26518642647675,4774,2463,2311,1,16,15,1682,1381,27,10,20,754,47,0,0,3,3,51,173
RS,89389,QUATRO IRMÃOS,148,44.22990777338603,1518,719,799,1,34,16,58,362,62,6,29,675,11,0,0,3,0,27,36
SP,70750,SÃO BERNARDO DO CAMPO,284,48.00296475238827,81964,44034,37787,1,474,471,8195,6978,4214,479,533,33234,4997,12,28,634,33,1162,3541
MG,45098,SÃO GONÇALO DO RIO PRETO,101,43.90682811974437,2973,1512,1455,1,16,13,191,897,129,3,16,460,50,0,1,1,0,57,202
PR,79030,SERTANEJA,26,46.11431693989071,4575,2357,2218,1,237,13,225,917,151,5,23,2021,78,0,0,21,2,77,204
PI,10154,ANTÔNIO ALMEIDA,14,43.20612612612613,2776,1360,1416,1,6,12,138,1137,60,6,15,581,18,0,1,16,0,35,149
PA,4278,BELÉM,76,44.806689246401355,82671,45813,36858,2,0,0,0,25095,0,0,0,41344,0,0,0,0,0,1368,5147
GO,92932,CAMPINORTE,50,43.122256693094336,8703,4364,4339,1,36,50,418,1525,258,13,123,3867,133,0,4,27,0,115,384
BA,38490,SALVADOR,7,43.96837745114913,87153,48652,38501,1,372,1159,13035,26996,1446,664,421,19545,1037,15,9,1142,26,1617,7004
