SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
AC,1007,BUJARI,9,39.515835540711734,8683,4287,4396,1,30,38,301,1134,617,24,131,4140,12,1,4,131,1,89,340
AC,1007,BUJARI,9,39.515835540711734,8683,4287,4396,2,0,0,0,1274,0,0,0,4676,0,0,0,0,0,104,145
AC,1015,CAPIXABA,2,39.41569086651054,6832,3324,3508,1,18,22,236,992,616,29,104,3484,2,2,6,77,0,43,220
AC,1015,CAPIXABA,2,39.41569086651054,6832,3324,3508,2,0,0,0,1086,0,0,0,3895,0,0,0,0,0,66,86
AC,1023,PORTO ACRE,1,39.983005366726296,12299,5931,6368,2,0,0,0,2059,0,0,0,7150,0,0,0,0,0,115,212
AC,1031,SANTA ROSA DO PURUS,3,37.34800965018094,3316,1644,1672,1,4,5,74,1110,304,34,33,474,4,2,0,97,1,15,186
AC,1031,SANTA ROSA DO PURUS,3,37.34800965018094,3316,1644,1672,2,0,0,0,975,0,0,0,847,0,0,0,0,0,25,77
AC,1040,MARECHAL THAUMATURGO,4,36.81116825863336,9530,4449,5081,1,10,13,325,2847,1269,35,296,1982,0,2,1,34,2,31,214
AC,1040,MARECHAL THAUMATURGO,4,36.81116825863336,9530,4449,5081,2,0,0,0,2451,0,0,0,2548,0,0,0,0,0,58,147
AC,1058,BRASILÉIA,6,39.860981235583814,16041,8247,7794,1,20,60,403,3275,1000,21,150,7608,27,0,4,159,4,174,531
AC,1058,BRASILÉIA,6,39.860981235583814,16041,8247,7794,2,0,0,0,3208,0,0,0,8711,0,0,0,0,0,142,256
AC,1074,CRUZEIRO DO SUL,4,38.091959706959706,54600,28609,25991,1,132,262,2433,6454,4087,128,1455,27455,120,11,7,601,12,608,1822
AC,1074,CRUZEIRO DO SUL,4,38.091959706959706,54600,28609,25991,2,0,0,0,7818,0,0,0,31147,0,0,0,0,0,720,1127
AC,1082,RODRIGUES ALVES,4,37.02008908281066,11001,5380,5620,2,0,0,0,1682,0,0,0,4762,0,0,0,0,0,108,145
AC,1090,MÂNCIO LIMA,4,38.13275404296404,12429,6178,6250,2,0,0,0,2334,0,0,0,5225,0,0,0,0,0,115,184
AC,1104,JORDÃO,5,36.83242904841402,4793,2211,2582,1,15,6,167,1676,378,4,48,1081,1,2,1,18,1,14,169
AC,1104,JORDÃO,5,36.83242904841402,4793,2211,2582,2,0,0,0,1415,0,0,0,1375,0,0,0,0,0,14,62
AC,1112,EPITACIOLÂNDIA,6,40.14551026093416,10770,5635,5135,1,22,43,319,1920,600,25,92,5567,25,3,0,111,2,151,369
AC,1112,EPITACIOLÂNDIA,6,40.14551026093416,10770,5635,5135,2,0,0,0,2026,0,0,0,6284,0,0,0,0,0,120,166
AC,1120,ACRELÂNDIA,8,40.20217958905665,8809,4322,4487,1,35,18,267,1130,548,16,61,4776,7,1,3,33,0,73,292
AC,1120,ACRELÂNDIA,8,40.20217958905665,8809,4322,4487,2,0,0,0,1300,0,0,0,5165,0,0,0,0,0,65,167
AC,1139,FEIJÓ,7,39.09620622568093,20565,10088,10476,1,20,43,405,6417,1081,48,75,5561,12,4,10,161,3,148,586
AC,1392,RIO BRANCO,1,40.612453280930914,129768,69047,60721,1,494,1062,6099,11059,6174,454,1108,71259,794,22,74,3872,13,1387,3421
AC,1392,RIO BRANCO,1,40.612453280930914,129768,69047,60721,2,0,0,0,16552,0,0,0,80106,0,0,0,0,0,1869,2865
AC,1457,SENA MADUREIRA,3,39.592303618711384,28328,13983,14344,1,49,99,871,3816,1732,62,317,12105,35,4,11,314,4,245,869
AC,1457,SENA MADUREIRA,3,39.592303618711384,28328,13983,14344,2,0,0,0,3711,0,0,0,12051,0,0,0,0,0,222,308
AC,1473,TARAUACÁ,5,38.801939545614516,25576,12491,13085,1,33,67,659,6818,1168,107,175,7798,14,3,9,256,6,247,842
