SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO ANULADO E APURADO EM SEPARADO,VOTO BRANCO,VOTO NULO
AC,1007,BUJARI,9,39.515835540711734,8683,4287,4396,1,30,38,301,1134,617,24,131,4140,12,1,4,131,1,NA,89,340
AC,1007,BUJARI,9,39.515835540711734,8683,4287,4396,2,NA,NA,NA,1274,NA,NA,NA,4676,NA,NA,NA,NA,NA,NA,104,145
AC,1015,CAPIXABA,2,39.41569086651054,6832,3324,3508,1,18,22,236,992,616,29,104,3484,2,2,6,77,NA,NA,43,220
AC,1015,CAPIXABA,2,39.41569086651054,6832,3324,3508,2,NA,NA,NA,1086,NA,NA,NA,3895,NA,NA,NA,NA,NA,NA,66,86
AC,1023,PORTO ACRE,1,39.983005366726296,12299,5931,6368,1,15,60,344,1970,1086,16,155,6031,9,2,4,138,3,NA,121,455
AC,1023,PORTO ACRE,1,39.983005366726296,12299,5931,6368,2,NA,NA,NA,2059,NA,NA,NA,7150,NA,NA,NA,NA,NA,NA,115,212
AC,1031,SANTA ROSA DO PURUS,3,37.34800965018094,3316,1644,1672,1,4,5,74,1110,304,34,33,474,4,2,NA,97,1,NA,15,186
AC,1031,SANTA ROSA DO PURUS,3,37.34800965018094,3316,1644,1672,2,NA,NA,NA,975,NA,NA,NA,847,NA,NA,NA,NA,NA,NA,25,77
AC,1040,MARECHAL THAUMATURGO,4,36.81116825863336,9530,4449,5081,1,10,13,325,2847,1269,35,296,1982,NA,2,1,34,2,NA,31,214
AC,1040,MARECHAL THAUMATURGO,4,36.81116825863336,9530,4449,5081,2,NA,NA,NA,2451,NA,NA,NA,2548,NA,NA,NA,NA,NA,NA,58,147
